a01;a02;a0000;a0400;a04;a0800;a0100;a0320;a1030;a1040;a0910;a1100;a1200;a1300;a1400;a1410;a1420a;a1420b;a1420c;a1420d;a1420e;a1420f;a1420g;a1500;a1510;a1600;a1520;a1530;a2000;a1700;a1710;a1900;a2100;a2200;a2300;a2500;a2400;a2600;a2700;b0100;b0110a;b0110b;b0110c;b0110d;b0110e;b0110f;b0110g;b0120a;b0120b;b0120c;b0120d;b0120e;b0120f;b0130a;b0130b;b0130c;b0208;b0308;b0408;b0201;b0301;b0401;b0202;b0302;b0402;b0203;b0303;b0403;b0204;b0304;b0404;b0205;b0305;b0405;b0206;b0306;b0406;b0207;b0307;b0407;b0209;b0309;b0409;b0210;b0310;b0410;b0212;b0312;b0412;b1100a;b1100b;b1100c;b1100d;b1100e;b1100f;b1100g;b1100i;b1100h;b0502;b0503;b0600;b0720a;b0720b;b0720c;b0720d;b0720e;b0720f;b0720g;b0720h;b0720i;b0710a;b0710b;b0710c;b0710d;b0710e;b0710f;b0710g;b0710h;b0710i;b1000a;b1000b;b1000c;b1000d;b1000e;b1000f;b1000g;b1000h;b1000i;b1000j;b1103;b1201;b1203a;b1203b;b1203c;b1203d;b1203e;b1203f;b1203g;b1204a;b1204b;b1204c;b1204d;b1204e;b1204f;b1204g;b1205a;b1205b;b1205c;b1205d;b1205e;b1206a;b1206b;b1206c;b1206d;b1206e;b1207a;b1207b;b1207c;b1208a;b1208b;b1208c;b1208d;b1209a;b1209b;b1209c;b1209d;b1230a;b1230b;b1230c;b1230d;b1230e;b1230f;b1230g;b1230h;c0100;c0200a;c0200b;c0200c;c0200d;c0200e;c0200f;c0200g;c0200h;c0200i;c0200j;c0200k;c0300;c0500;c0600a;c0600b;c0600c;c0600d;c0600e;c0600f;c0600g;c0600h;c0600i;c0600j;c0600k;c0400a;c0400b;c0400c;c0400d;c0400e;c0400f;c0400g;c0400h;c0400i;c0400j;c0400k;c0400l;c0400m;c0400n;d0101;d0104;d0110;d0113;d0102;d0114;d0115;d0117;d0103;d0116;d0105;d0106;d0107;d0108;d0109;d0111;d0112;d0300;d0400;d0500;d0600;d0610a;d0610b;d0610c;d0610d;d0610e;e0100;e0500;e0600;e0700;e0800;e0900;e1001;e1002;e1003;e1004;e1005;e1200;e1101;e0401;e0402;e0300;e1400;e1500;e1600;e1701;e1702;e1800;e1300;i0100;i0200a;i0200b;i0200c;i0200d;i0200e;i0200h;i0200f;i0200g;i0200j;i0300;i0500a;i0500b;i0500c;i0500d;i0500e;i0500f;i0500g;i0500h;i0500i;i0500k;i0500j;i0800;i0510;i0520a;i0520b;i0520c;i0520e;i0520f;i0520d;i0520g;i0601;i0602;i0700;i0900;i1000;i0400a;i0400b;i0400c;i0400d;i0400e;j0100;j0110;j0200;j0300a;j0300b;j0300c;j0300d;j0300e;j0300f;j0300g;j0300h;j0300i;j0300j;j0300k;j0300l;j0300m;j0300n;j0300p;j0300o;j0400;j0500;j0600;j0700;j0800a;j0800b;j0800c;j0800d;j0800e;j0800f;j0800h;j0800g;j0810;j0900a;j0900b;j0900c;j0900d;j0910a;j0910b;j0910c;j0910d;j0910e;j0910f;j0920;j1000;j1100;j1201;j1202;j1203;j1300;j1400;j1600;k1908;k1901;k1902;k1903;k1904;k1905;k1906;k1907;k1909;k1910;k1912;k0100;k0500;k0600;k0700;k0800;k0900;k1001;k1002;k1003;k1004;k1005;k1200;k1101;k0401;k0402;k0300;k1400;k1500;k1600;k1701;k1702;k1800;k1300;k2020;negativa_pmi;tmp_e0401;age;f0900a;f1000a;weight;a0940;a0930;a0300;a0310;ccaaf;a0930_b;a0950;f1100;f1200;f1200_b;f1300;a0900b;a0900c;a0900d;a0900e;a0900f;a0900l;a0900j;a0900h;a0900g;a0900i;a0900a;a0900k;a1800;a0200;f0900b;f1000b;f0900c;f1000c;f0900d;f1000d;f0900e;f1000e;ID
2022;1;0;1993;28;-98;1;0;1;-98;3;8;8;-98;2;0;0;0;0;0;0;0;1;2;11;-98;1;-98;2;-98;12;0;20;80;-98;3;2;9;8;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;-98;-98;1;0;0;0;-98;-98;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;1;-98;1;-98;-98;-98;-98;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;5;5;2;4;4;2;4;2;2;4;4;3;4;4;2;2;1;0;-98;50;2;5;3;0;0;3;200;1;0;-97;1;1;0;1;-98;6;0;2;3;18;50;10;30;4;1;2;1;5;2;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;1;1;1;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;3;6;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;600;2;200;0;0;1;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;1;0;1;1;0;2;-5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;72.37;28;1;0;6596.6167;1;36;-98;-98;10;-98;4;1;28;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;36;10;0;1;-98;-98;-98;-98;0;0;1585
2022;5;1;1984;37;-98;0;1;3;-98;6;4;-98;-98;4;0;0;0;0;1;1;1;0;2;11;-98;2;-98;2;-98;15;0;10;30;-98;-98;-98;11;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;1;0;-98;-98;-98;-98;1;0;0;0;1;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;4;5;3;4;4;4;5;2;2;3;4;5;3;4;5;3;1;1;-98;50;3;2;2;3;0;3;200;1;0;120;1;1;1;0;-98;7;1;1;3;18;5;1;30;3;1;1;4;9;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;1;1;0;1;0;0;1996;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;0;5;5;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;400;2;1200;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;1;1;0;1;1;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;78.45999999999999;37;1;1;2073.103;-98;-98;0;3;3;-98;-98;1;37;-98;1;0;1;0;1;0;0;0;0;1;0;0;0;51;-98;-98;-98;0;0;0;0;0;0;1586
2021;11;1;2003;18;-98;1;1;1;-98;1;5;-98;-98;3;0;0;0;0;0;0;0;1;2;11;-98;1;-98;3;-98;1;0;10;70;-98;-98;-98;11;-99;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;7;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;3;0;0;1;0;0;1;1;0;0;0;0;60;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;3;3;3;3;2;3;3;3;4;4;3;3;2;3;0;-98;0;50;0;0;6;4;0;1;200;3;0;98;3;1;1;1;-98;5;-97;1;3;18;50;100;30;-97;-97;1;-97;5;3;0;0;1;0;0;0;0;0;0;300;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;10;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2;200;2;250;0;0;0;1;0;0;0;0;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;-99;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;128.6;18;-98;-98;2803.4253;-98;-98;-98;-98;2;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;0;1;0;51;13;-98;-98;-98;-98;-98;-98;-98;-98;1587
2022;1;1;1976;45;-98;1;0;2;2;3;7;8;-98;4;0;0;0;0;0;0;0;1;2;11;-98;1;-98;2;-98;21;0;10;60;-98;7;2;11;10;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;-98;-98;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;-98;0;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;66;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;5;5;3;2;4;2;2;2;2;4;3;2;3;2;2;2;0;-98;1;30;5;0;3;2;0;3;200;3;0;102;2;1;1;1;-98;4;1;3;3;18;5;10;30;4;1;1;7;8;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;1;0;0;0;1;0;2018;2;-98;-98;-98;-98;-98;-98;-98;1;1;430;100;0;1;2;5;1;1;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;150;1;3000;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;4;-5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;41.79;45;1;1;6377.9165;0;42;-98;-98;1;-98;7;1;45;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;52;1;1;1;-98;-98;-98;-98;0;0;1588
2021;12;1;1984;37;-98;1;0;3;-98;3;3;-98;-98;5;0;1;0;0;0;0;0;0;2;11;-98;1;-98;2;-98;18;0;0;100;-98;3;5;11;8;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;-98;-98;-98;-98;-98;0;-98;9;0;3;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;1;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;5;5;3;2;2;2;4;2;2;4;1;3;5;1;1;3;1;0;-98;0;3;5;0;0;2;1;200;1;0;102;1;1;1;1;-98;6;0;1;3;18;100;10;30;4;1;2;1;3;3;0;0;0;1;0;0;0;0;0;360;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;5;5;0;0;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;400;2;300;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;2;-5;3;1;1;1;1;1;1;1;1;1;1;0;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;85.95999999999999;37;1;0;9992.5996;0;34;-98;-98;1;-98;11;2;34;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;73;1;1;1;-98;-98;-98;-98;0;0;1589
2022;5;0;1971;51;-98;1;0;2;1;2;4;-98;-98;5;0;0;0;0;0;0;0;1;1;4;-98;1;1;-98;-98;25;0;0;-98;-98;8;2;4;-97;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;-98;0;-98;-98;-98;-98;0;-98;4;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;1;0;0;5;1;0;0;0;0;1;0;1;0;1;0;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;3;1;3;1;3;1;1;1;5;1;3;1;1;5;0;-98;1;30;10;0;0;0;0;2;200;3;0;102;1;1;1;-97;1;5;1;1;3;18;-97;-97;30;4;1;2;1;7;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;7;3;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;1200;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;6;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;69.03;51;1;1;4948.3657;1;51;-98;-98;5;-98;6;1;51;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;54;6;0;1;-98;-98;-98;-98;-98;-98;1590
2021;11;0;1997;24;-98;0;1;1;-98;3;4;-98;-98;5;0;0;0;0;0;0;0;1;9;2;5;2;-98;2;-98;5;0;0;80;-98;-98;-98;5;5;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;-98;-98;1;0;0;1;0;0;0;-98;-98;0;-98;-98;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;-97;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;1;2;5;1;1;1;1;5;5;5;1;3;1;5;0;-98;0;50;3;0;4;3;0;1;200;1;0;102;2;-97;1;-97;0;1;0;2;3;18;-97;.1;30;4;1;1;-97;5;3;0;0;0;1;1;0;1;0;0;525;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;6;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;160;2;300;0;0;0;1;0;0;1;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;1;0;1;0;1;2;-98;3;1;1;0;1;1;1;1;1;1;1;1;3;153;3;0;102;2;1;1;0;-98;7;1;1;3;18;100;10;30;4;1;1;2;7;3;0;76.26000000000001;24;0;0;3970.8975;-98;-98;0;4;10;-98;-98;3;42;-98;0;0;0;0;1;0;0;0;0;1;0;0;0;57;-98;-98;-98;1;1;-98;-98;0;0;1591
2021;11;0;1998;23;-98;1;0;1;-98;4;8;5;-98;5;1;0;0;0;0;0;0;1;5;9;10;-98;-98;-98;0;-98;-98;-98;-98;0;-98;-98;5;5;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;7;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;1;0;4;1;0;0;0;0;0;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;5;4;2;1;5;3;5;3;4;1;4;3;4;5;1;2;0;-98;0;50;2;0;5;3;0;1;200;-97;0;100;1;1;1;1;-98;5;0;1;3;18;-97;0;30;4;1;2;6;5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;1;0;0;0;0;0;0;2004;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;0;1;1;0;4;4;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;6;900;2;3000;0;0;0;1;0;0;-5;0;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;1;2;-98;3;1;1;1;1;1;1;1;1;1;1;1;3;200;3;0;100;2;0;0;0;-98;5;1;-97;3;18;-97;10;70;4;1;2;5;5;3;0;70.48;23;0;0;7597.6108;-98;-98;-98;-98;1;-98;-98;4;51;-98;1;0;0;0;1;0;0;0;0;1;0;0;0;-98;1;-98;-98;0;0;1;1;0;0;1592
2021;11;1;1957;64;-98;1;0;2;2;2;2;-98;-98;1;0;0;0;0;0;0;0;1;2;11;-98;1;-98;3;-98;45;0;70;50;-98;3;5;9;6;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-97;-97;-97;-97;-97;-97;-97;-97;2;1;0;0;0;0;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;5;5;4;4;4;4;5;4;4;2;5;5;5;5;3;4;1;0;-98;30;8;2;0;0;0;2;200;-5;0;102;1;1;0;0;-98;10;0;3;3;18;50;100;3;3;1;2;1;6;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;1;0;0;0;0;0;0;1985;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;0;0;0;5;4;1;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2;400;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;1;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;150.23;64;1;1;8765.3135;0;56;-98;-98;1;-98;36;1;64;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;71;1;1;1;-98;-98;-98;-98;-98;-98;1593
2022;4;0;1961;60;-98;1;0;2;2;4;7;2;-98;5;0;0;0;0;0;0;0;1;1;4;-98;1;1;-98;-98;39;0;0;-98;-98;7;1;2;2;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;-98;-98;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;0;0;-98;0;0;0;-98;-98;0;-98;10;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;1;0;0;3;1;0;0;0;0;1;1;1;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;3;1;4;2;2;3;2;3;2;3;1;4;3;2;0;-98;0;100;4;3;0;0;3;3;200;1;0;102;2;1;1;1;-98;10;1;1;3;18;5;-97;30;2;1;2;1;9;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;1;0;1;1;1;0;0;0;2000;-98;-98;-98;-98;-98;-98;-98;-98;1;1;800;80;1;0;0;8;2;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;1000;2;2000;0;1;0;1;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;1;0;5;-98;3;0;1;1;1;1;1;1;1;1;1;1;3;200;3;0;102;1;1;1;1;-98;10;1;1;3;18;5;10;30;4;1;2;1;8;3;0;94.28;60;1;1;1205.519;1;-96;-98;-98;6;60;32;2;-96;60;1;1;0;0;0;0;0;0;0;0;0;0;0;21;13;1;1;-98;-98;-98;-98;0;0;1594
2021;12;0;1991;30;-98;1;0;2;2;3;3;-98;-98;1;0;1;0;0;0;0;0;0;5;11;-98;-98;-98;-98;1;7;0;-98;-98;50;6;2;4;7;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;-98;-98;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;-98;0;-98;-98;-98;-98;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;1;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;5;5;2;2;4;1;3;2;1;3;4;2;4;3;1;4;1;0;-98;30;2;1;5;2;0;2;200;1;0;102;2;1;1;0;-98;1;1;1;3;18;1;10;30;4;1;2;4;7;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;1;0;0;0;0;0;2019;2;-98;-98;-98;-98;-98;-98;-98;1;1;198;80;0;0;0;2;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;400;2;500;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;0;4;-5;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;101.24;30;1;1;3453.4668;1;35;-98;-98;14;-98;5;1;30;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;52;14;1;1;-98;-98;-98;-98;0;0;1595
